u,h1,h2,time,h1_der,h2_der
0.8596400256303967,0.205078125,0.380859375,0,0.07421875,0.0009765625
0.8596400256303967,0.576171875,0.3857421875,5,0.05126953125,0.00244140625
0.8596400256303967,0.7177734375,0.4052734375,10,0.02734375,0.0068359375
0.8596400256303967,0.849609375,0.4541015625,15,0.02587890625,0.01123046875
0.8596400256303967,0.9765625,0.517578125,20,0.02294921875,0.0126953125
0.8596400256303967,1.0791015625,0.5810546875,25,0.01953125,0.01318359375
0.8596400256303967,1.171875,0.6494140625,30,0.017578125,0.013671875
0.8596400256303967,1.2548828125,0.7177734375,35,0.01708984375,0.0126953125
0.8596400256303967,1.3427734375,0.7763671875,40,0.0146484375,0.01123046875
0.8596400256303967,1.4013671875,0.830078125,45,0.01220703125,0.01123046875
0.8596400256303967,1.46484375,0.888671875,50,0.01123046875,0.01123046875
0.8596400256303967,1.513671875,0.9423828125,55,0.01025390625,0.0107421875
0.8596400256303967,1.5673828125,0.99609375,60,0.00927734375,0.009765625
0.8596400256303967,1.6064453125,1.0400390625,65,0.00830078125,0.009765625
0.8596400256303967,1.650390625,1.09375,70,0.0078125,0.0107421875
0.8596400256303967,1.6845703125,1.1474609375,75,0.00732421875,0.00927734375
0.8596400256303967,1.7236328125,1.1865234375,80,0.0068359375,0.0078125
0.8596400256303967,1.7529296875,1.2255859375,85,0.00537109375,0.00830078125
0.8596400256303967,1.77734375,1.26953125,90,0.00537109375,0.0087890625
0.8596400256303967,1.806640625,1.3134765625,95,0.00537109375,0.0087890625
0.8596400256303967,1.8310546875,1.357421875,100,0.0048828125,0.009765625
0.8596400256303967,1.85546875,1.4111328125,105,0.00439453125,0.0087890625
0.8596400256303967,1.875,1.4453125,110,0.00390625,0.00634765625
0.8596400256303967,1.89453125,1.474609375,115,0.00390625,0.0068359375
0.8596400256303967,1.9140625,1.513671875,120,0.00390625,0.0068359375
0.8596400256303967,1.93359375,1.54296875,125,0.00341796875,0.00390625
0.8596400256303967,1.9482421875,1.552734375,130,0.0029296875,0.00341796875
0.8596400256303967,1.962890625,1.5771484375,135,0.0029296875,0.00537109375
0.8596400256303967,1.9775390625,1.6064453125,140,0.0029296875,0.0048828125
0.8596400256303967,1.9921875,1.6259765625,145,0.00244140625,0.00439453125
1.9716513095711412,2.001953125,1.650390625,150,0.02587890625,0.00537109375
1.9716513095711412,2.2509765625,1.6796875,155,0.05224609375,0.0078125
1.9716513095711412,2.5244140625,1.728515625,160,0.052734375,0.01171875
1.9716513095711412,2.7783203125,1.796875,165,0.0498046875,0.0146484375
